Top queries,Clicks,Impressions,CTR,Position
"i live in australia. list brands in hair dryers that have successfully 
utilized influencer marketing or brand ambassador programs to enhance their 
visibility. in australia",0,24,0%,11.38
pr collab latest,0,22,0%,7.05
game sponsors,0,22,0%,70.73
clothing brands to email for pr as a micro influencer,0,21,0%,3.1
pr package email template,0,19,0%,8.95
companies that send pr,0,19,0%,10.26
pr packages for small influencers,0,19,0%,13.11
pr outreach template,0,19,0%,63
brands that send pr packages,0,18,0%,18
paid partnership on tiktok meaning,0,17,0%,10.06
paid partnership meaning tiktok,0,17,0%,10.65
pr list,0,17,0%,45.12
eco friendly products partnership,0,16,0%,24.88
pr packages for small business,0,15,0%,13.47
pr package emails,0,14,0%,29.07
clothing brands pr,0,13,0%,7.31
meaning of paid partnership on tiktok,0,13,0%,11.23
makeup brands that send pr to small influencers,0,13,0%,48.85
how to get on a pr list for clothes,0,12,0%,9.83
paid collaboration meaning,0,12,0%,19.33
pr email templates,0,12,0%,27.5
sponsors for small streamers,0,12,0%,33.75
what companies help brands partner with streamers for marketing?,0,12,0%,34.75
free pr emails for clothing brands,0,11,0%,2.18
clothing brands to email for pr,0,11,0%,2.91
small esports sponsors,0,11,0%,7.73
collab email template,0,11,0%,80.91
ambassador programs for small influencers,0,11,0%,84.73
list of brand emails for influencers free,0,10,0%,5
pr packages application,0,10,0%,7
paid partnership tiktok meaning,0,10,0%,10.8
pr brands for small creators,0,10,0%,11.6
clothing brand pr,0,10,0%,14.3
clothing pr packages,0,10,0%,15.7
pr forms for small creators,0,10,0%,17.9
pr ambassador application,0,10,0%,60.5
best free pr packages for micro influencers,0,9,0%,9
eco content partnerships,0,9,0%,10.22
paid partnership means,0,9,0%,14.44
brands that send pr to non influencers,0,9,0%,16.22
brands looking to build their pr list,0,9,0%,25.11
companies that send pr to small influencers,0,9,0%,31.89
paid parthership,0,9,0%,45.44
sponsorships for small streamers,0,9,0%,51
influencer pr package,0,9,0%,64.22
brands that send free pr,0,8,0%,8.62
how to get pr as a small influencer,0,8,0%,9.12
pr package note,0,8,0%,9.5
sponsor matching and brand deal marketplaces for streamers,0,8,0%,13.62
what does paid partnership mean,0,8,0%,14
brands for pr,0,8,0%,15
brands pr,0,8,0%,15
small brands for pr,0,8,0%,17.62
what brands send pr packages,0,8,0%,18.12
gaming sponsorships applications,0,8,0%,34.62
influencer pr packages,0,8,0%,63.88
no better collab,0,8,0%,70.62
pr package message examples,0,8,0%,94.88
best pr emails for clothing brands free,0,7,0%,2
best pr emails for clothing brands,0,7,0%,2.57
asos,0,7,0%,9
brands that send pr packages to small influencers,0,7,0%,9.14
gaming sponsorships for small streamers,0,7,0%,9.29
small gaming brands,0,7,0%,9.43
brands that send pr to nano influencers,0,7,0%,10.57
what does paid partnership on tiktok mean,0,7,0%,11.71
meaning of paid partnership,0,7,0%,12.14
#paidcollabs latest,0,7,0%,15.86
pr forms group,0,7,0%,16.86
brands that give pr,0,7,0%,17.71
small creators under 1k,0,7,0%,17.71
top pr agencies consumer product launches australia 2025,0,7,0%,23.86
free collab latest,0,7,0%,24.57
pr email for influencers,0,7,0%,30.43
how to get sponsored by brands,0,7,0%,44.57
free pr packages for influencers,0,7,0%,59.43
beauty pr melbourne,0,7,0%,67.86
pr package forms for influencers,0,6,0%,5.83
pr email list for micro influencers pdf,0,6,0%,7
influencer pr list,0,6,0%,8.5
free pr emails for micro influencers,0,6,0%,8.67
brands that send pr to small creators,0,6,0%,8.83
brands to dm for pr,0,6,0%,10.17
small businesses that send pr,0,6,0%,10.17
pr deals,0,6,0%,10.5
pr opportunities for influencers,0,6,0%,11.5
brands pr list,0,6,0%,17.17
gaming sponsorships for small channels,0,6,0%,18.17
pr email template for influencers,0,6,0%,25.33
companies that give pr packages,0,6,0%,26.5
pr lists for micro influencers,0,6,0%,31.33
beauty pr list application,0,6,0%,38.5
pr sign up,0,6,0%,49
brands sustainability partnerships collaborations 2024,0,6,0%,50
gaming sponsorships,0,6,0%,50.5
pr package for influencers,0,6,0%,70.83
influencer pitch template,0,6,0%,82.33
influencer application form,0,6,0%,89.33
email template for influencers,0,6,0%,92.83
fashion brands to email for pr packages,0,5,0%,4
fashion brand emails for pr,0,5,0%,4.2
micro influencers engagement rate vs macro 2025,0,5,0%,4.8
pr brands list,0,5,0%,6
pr lists,0,5,0%,6.2
beauty brands that send pr,0,5,0%,7
companies that give pr,0,5,0%,8.6
gaming sponsorship news,0,5,0%,10
pr lists australia,0,5,0%,10.4
instagram reels monetization news today 2025,0,5,0%,11.4
pr package form,0,5,0%,11.8
brands sustainability partnerships initiatives,0,5,0%,21.8
"list off the best austrailian brand identity agencies for beauty and 
fashion brands",0,5,0%,25.6
pr package email,0,5,0%,25.8
free pr packages for micro influencers,0,5,0%,26
pr kit ideas,0,5,0%,58.4
companies looking for micro influencers,0,5,0%,72.6
pr package examples,0,5,0%,82.6
pr collabs latest,0,4,0%,3.5
kosas,0,4,0%,5.75
list of brands to email for pr micro influencers pdf,0,4,0%,6.25
brands that send free pr packages,0,4,0%,6.75
pr collab brands,0,4,0%,6.75
free pr from brands,0,4,0%,7.75
pr products,0,4,0%,7.75
what is the meaning of paid partnership in tiktok,0,4,0%,8.75
no collab,0,4,0%,9.25
paid partnership in tiktok meaning,0,4,0%,9.75
what's paid partnership on tiktok,0,4,0%,9.75
companies that send pr to small creators,0,4,0%,10.5
ethical brand deals for artists,0,4,0%,17
beauty pr companies australia,0,4,0%,25.25
tiktok paid partnership,0,4,0%,27
pr email template for brands,0,4,0%,29.25
brands that do pr,0,4,0%,30.75
what is a paid partnership,0,4,0%,31.25
tiktok creator pilot program requirements 2025,0,4,0%,34.75
what is paid partnership,0,4,0%,37.5
paid partnership tiktok,0,4,0%,37.75
collaboration pitch email template,0,4,0%,43.5
brands looking for bloggers,0,4,0%,50.5
influencer gifting email template,0,4,0%,57.75
paid partnerships,0,4,0%,69.75
pr sign up for influencers,0,4,0%,70.25
pr package note ideas,0,4,0%,71.25
how to get pr packages without followers for free,0,4,0%,71.5
influencer pr package card,0,4,0%,76
micro influencer pr list pdf,0,3,0%,3.33
fashion brand influencer partnerships 2025,0,3,0%,3.67
brand pr email list free,0,3,0%,4.33
brands that do pr packages,0,3,0%,4.67
free brand emails for influencers,0,3,0%,5.33
how to get pr packages australia without posting,0,3,0%,7
which brands send pr packages,0,3,0%,7.33
best pr email template for influencers free,0,3,0%,8.33
best beauty brands influencer partnerships 2025,0,3,0%,8.67
brands that send pr packages to micro influencers,0,3,0%,9
how to sign up for pr packages from brands,0,3,0%,9
free pr brands,0,3,0%,9.33
retailers exclusive influencer collaboration tops 2025,0,3,0%,9.33
free pr email template for influencers,0,3,0%,10.33
alternatives to hiring an influencer agency,0,3,0%,10.67
skincare brands that send pr to small influencers,0,3,0%,10.67
free pr emails for beauty brands,0,3,0%,12
pr packages brands,0,3,0%,14.67
email for pr packages,0,3,0%,17
tiktok paid partnership tag,0,3,0%,23
brands to get pr packages from,0,3,0%,28.33
how to get a paid partnership,0,3,0%,28.67
top australian brand identity agencies beauty fashion,0,3,0%,29.33
small streamer sponsors,0,3,0%,32
streamer sponsorships,0,3,0%,40.67
brand emails for pr,0,3,0%,41
affiliate programs for small streamers,0,3,0%,41.33
email template for pr packages,0,3,0%,42.33
lightstream sponsor,0,3,0%,45.67
sponsors for streamers,0,3,0%,46.67
pr list application skincare,0,3,0%,47
pr for micro influencers,0,3,0%,49.67
paid partnership with,0,3,0%,52.67
gaming sponsors,0,3,0%,54.33
small makeup brands looking for promoters,0,3,0%,59.33
companies that work with micro influencers,0,3,0%,65
what is a paid partnership on instagram,0,3,0%,69
how to get pr packages without followers,0,3,0%,73.67
pr emails for brands,0,3,0%,80
influencer pr programs,0,3,0%,80.33
how to start getting pr packages,0,3,0%,85.67
influencer marketing email template,0,3,0%,95.33
paid collab meaning,0,2,0%,1
pr packages for content creators,0,2,0%,2.5
fashion brands to email for pr,0,2,0%,3.5
free pr email list,0,2,0%,3.5
influencer pr package ideas,0,2,0%,4
good pr brands,0,2,0%,4.5
send me pr latest,0,2,0%,5
best free brand emails for pr,0,2,0%,5.5
streaming sponsorship news,0,2,0%,5.5
companies that do pr packages,0,2,0%,6
creative pr packages,0,2,0%,6
what brands give free pr,0,2,0%,6
what brands send pr,0,2,0%,6
what to say in pr email,0,2,0%,6
which brands send free pr,0,2,0%,6
beauty brands that send pr to micro influencers,0,2,0%,6.5
best free brand emails for influencers,0,2,0%,6.5
brands that give free pr,0,2,0%,6.5
pr package brands,0,2,0%,6.5
pr package request email template,0,2,0%,7
why does tiktok say paid partnership,0,2,0%,7
best free pr packages,0,2,0%,8
fashion pr emails,0,2,0%,8
netflix,0,2,0%,8
shein,0,2,0%,8
what brands send pr to micro influencers,0,2,0%,8
free pr email for influencers template,0,2,0%,8.5
banana republic,0,2,0%,9
gymshark,0,2,0%,9
what does it mean paid partnership on tiktok,0,2,0%,9
getbranddeals melbourne,0,2,0%,9.5
pr package clothing,0,2,0%,10
makeup brands that send pr,0,2,0%,11
paid partnership label tiktok,0,2,0%,11
pr email layout,0,2,0%,11
pr lists to join,0,2,0%,11
free pr packages,0,2,0%,12
how do you get pr packages,0,2,0%,12
free collabs latest,0,2,0%,12.5
brands that send pr to small influencers for free,0,2,0%,13
how can i get pr from brands,0,2,0%,13
brand that send pr,0,2,0%,13.5
send pr latest,0,2,0%,15
small influencer pr,0,2,0%,15.5
forms for pr,0,2,0%,18
how to get pr from brands with under 2k followers,0,2,0%,18.5
pr for small influencers,0,2,0%,20
3rd follow up email sales,0,2,0%,24.5
pr gifting application,0,2,0%,25
gaming sponsors for small streamers,0,2,0%,30.5
ugc collaborations,0,2,0%,32.5
how to get sponsored by a brand,0,2,0%,34
what does paid partnership mean on instagram,0,2,0%,35
beauty pr list,0,2,0%,37.5
brands emails for pr,0,2,0%,43
pr skincare,0,2,0%,48.5
what is a paid collaboration,0,2,0%,50.5
what is instagram paid partnership,0,2,0%,52.5
how to get on pr lists as an influencer,0,2,0%,53.5
pr package sign up,0,2,0%,54.5
how can i get sponsored for gaming,0,2,0%,58.5
paidpartnership,0,2,0%,59
sponsorships for streamers,0,2,0%,63
collab with us ugc,0,2,0%,64
paid partner,0,2,0%,66
streamer partnerships,0,2,0%,68
what is paid partnership instagram,0,2,0%,68
twitch sponsorships for small streamers,0,2,0%,69
brand pr emails,0,2,0%,70
how to get on a brands pr list,0,2,0%,70.5
pr for small business,0,2,0%,77
fashion brands that work with influencers,0,2,0%,80.5
apply for pr packages,0,2,0%,81.5
pr package signup,0,2,0%,83.5
twitch sponsorship for small streamers,0,2,0%,83.5
pr package email list,0,2,0%,87.5
how to send pr packages to influencers,0,2,0%,88
brand pr email list,0,2,0%,89
small streamer sponsorships,0,2,0%,90
brands that send pr to anyone,0,2,0%,95
email template to influencers,0,2,0%,96.5
influencer pitch email template,0,2,0%,97.5
"""influencer marketing hub""",0,1,0%,1
brand pr packages,0,1,0%,1
energy drink sponsorship for streamers,0,1,0%,1
hyperx,0,1,0%,1
pr packages in australia,0,1,0%,1
for skincare,0,1,0%,2
list of brands to email for pr micro influencers free,0,1,0%,2
pr beauty brands,0,1,0%,2
pr collaborations,0,1,0%,2
pr manager,0,1,0%,2
best pr email template for brands,0,1,0%,4
bondi sands,0,1,0%,4
fashion/apparel,0,1,0%,4
food brands that send pr,0,1,0%,4
free brand emails for pr,0,1,0%,4
how do you get pr packages from brands,0,1,0%,4
kanvas beauty,0,1,0%,4
native,0,1,0%,4
pr brand emails for micro influencers free,0,1,0%,4
pr collab,0,1,0%,4
pr email template for micro influencers free download,0,1,0%,4
in:sent pr,0,1,0%,5
logitech,0,1,0%,5
pr packages from brands,0,1,0%,5
brands that will send pr,0,1,0%,6
collab with us,0,1,0%,6
fashion brand influencer application form,0,1,0%,6
how do you get sent pr packages,0,1,0%,6
pr package influencer,0,1,0%,6
showpo,0,1,0%,6
best free pr packages for influencers,0,1,0%,7
companies that send pr packages for influencers,0,1,0%,7
how do you get pr from brands,0,1,0%,7
levi's,0,1,0%,7
pr email for brands template,0,1,0%,7
pr for content creators,0,1,0%,7
tula beauty,0,1,0%,7
what brands do pr,0,1,0%,7
"""saie beauty""",0,1,0%,8
brands sending pr,0,1,0%,8
free pr email template for micro influencers,0,1,0%,8
intellifluence,0,1,0%,8
pr makeup brands,0,1,0%,8
secretlab,0,1,0%,8
skeepers,0,1,0%,8
steelseries,0,1,0%,8
tower 28,0,1,0%,8
tower 28 ambassador program,0,1,0%,8
emails to send to brands for pr,0,1,0%,9
fashion brands that send pr packages to influencers,0,1,0%,9
airbnb,0,1,0%,10
best brands to email for pr micro influencers free,0,1,0%,10
best pr email template for micro influencers,0,1,0%,10
boutique brands,0,1,0%,10
etshot,0,1,0%,10
"i live in australia. which brands in moisturising shampoo are recognized 
for having consistently impactful public relations campaigns or news 
coverage? in australia",0,1,0%,10
k-beauty pr application process,0,1,0%,10
looking for sponsor,0,1,0%,10
pr boxes ideas,0,1,0%,10
brands who send pr,0,1,0%,11
brandz,0,1,0%,11
corsair,0,1,0%,11
free pr for micro influencers,0,1,0%,11
glow recipe,0,1,0%,11
how do i get pr packages from brands,0,1,0%,11
is pr free for influencers,0,1,0%,11
lulus,0,1,0%,11
paidpartnership wi,0,1,0%,11
pr brand email template,0,1,0%,11
pr products for influencers,0,1,0%,11
prpackages,0,1,0%,11
send me pr,0,1,0%,11
streamer sponsorship news,0,1,0%,11
what brands give pr to small influencers,0,1,0%,11
what companies send pr packages,0,1,0%,11
alo yoga,0,1,0%,12
brands for pr packages,0,1,0%,12
dunkin' donuts,0,1,0%,12
pr brand emails for micro influencers pdf,0,1,0%,12
pr emails for small creators,0,1,0%,12
pr package notes,0,1,0%,12
pr request email,0,1,0%,12
sperry,0,1,0%,12
tiktok creator pilot program eligibility requirements 2025,0,1,0%,12
what brands send pr to small creators,0,1,0%,12
what does a paid partnership mean on tiktok,0,1,0%,12
what is paid collab,0,1,0%,12
what is paid collaboration,0,1,0%,12
best affiliate programs for game streamers,0,1,0%,13
brands that send pr packages to micro influencers 2025,0,1,0%,13
brands that work with micro influencers 2025,0,1,0%,13
how to get pr packages from brands,0,1,0%,13
sponsorship gaming,0,1,0%,13
pr package clothes,0,1,0%,14
pr packages form,0,1,0%,14
#prpackage,0,1,0%,15
brands this is your sign to send me pr,0,1,0%,15
tiktok paid partnership meaning influencer marketing,0,1,0%,17
#newcollaboration,0,1,0%,18
#paidpartnership,0,1,0%,18
influencer under 1k,0,1,0%,18
paid partnership instagram meaning,0,1,0%,19
brands to email for pr,0,1,0%,20
pr emails for micro influencers,0,1,0%,20
pr forms,0,1,0%,20
prlist,0,1,0%,20
pr list application clothing,0,1,0%,22
pretty little thing collab email,0,1,0%,22
brands that will send pr to micro influencers,0,1,0%,23
pr email template for micro influencers,0,1,0%,24
what is a paid partnership on tiktok,0,1,0%,24
list of brands to email for pr,0,1,0%,25
what is paid partnership on tiktok,0,1,0%,25
do you have to pay for pr packages,0,1,0%,26
partnerships for streamers,0,1,0%,26
pr brand emails for micro influencers,0,1,0%,26
pr list email template,0,1,0%,28
skin care pr,0,1,0%,28
no collabs,0,1,0%,29
pr template email,0,1,0%,30
paid partnership on tiktok,0,1,0%,32
pr with no followers,0,1,0%,32
colorpop pr,0,1,0%,33
pr package sign up free,0,1,0%,35
sponsors for twitch streamers,0,1,0%,35
fashion blogger email list,0,1,0%,36
sponsorship for streamers,0,1,0%,36
freepr,0,1,0%,37
tatcha pr list,0,1,0%,37
brands that give pr to micro influencers,0,1,0%,38
princesspolly collab,0,1,0%,38
asking for pr email template,0,1,0%,39
brands that work with micro influencers 2022,0,1,0%,46
colourpop pr application,0,1,0%,46
pr brands for micro influencers,0,1,0%,46
pr for small creators,0,1,0%,46
skincare brands that work with micro influencers,0,1,0%,47
how to get a paid partnership on tiktok,0,1,0%,48
sustainable apparel brand,0,1,0%,48
instagram reels monetization eligibility requirements 2025,0,1,0%,52
pr brands that work with micro influencers,0,1,0%,53
mecca max,0,1,0%,54
paid partnership porno,0,1,0%,54
streamer affiliate programs,0,1,0%,54
brands looking for micro influencers,0,1,0%,56
how to get brand sponsorship,0,1,0%,56
what brands work with micro influencers,0,1,0%,58
instagram reels monetization 2025,0,1,0%,59
join pr list,0,1,0%,59
micro influencer pr,0,1,0%,59
how to get free pr packages without followers,0,1,0%,66
pr list sign up,0,1,0%,66
what is paid partnership on instagram,0,1,0%,66
pr list makeup,0,1,0%,67
pr package,0,1,0%,67
brands that collaborate with micro influencers,0,1,0%,68
how to get brands to sponsor you,0,1,0%,68
pr package message to influencer,0,1,0%,68
how to get on makeup pr lists,0,1,0%,69
micro influencer collabs,0,1,0%,71
sponsorship for small streamers,0,1,0%,71
what is paid partnership on ig,0,1,0%,71
1st collab,0,1,0%,74
proposal influencer brand collaboration email sample,0,1,0%,74
how to get brand sponsorships,0,1,0%,78
easy sponsorships for gaming,0,1,0%,82
blogger collaboration email sample,0,1,0%,83
pr brand emails,0,1,0%,84
what is a pr package,0,1,0%,84
how to monetize reels on instagram,0,1,0%,86
pr liste,0,1,0%,86
brands that will send you pr,0,1,0%,87
pr collabs,0,1,0%,88
can you monetize instagram reels,0,1,0%,89
pr list for micro influencers,0,1,0%,89
program paid partnership,0,1,0%,89
makeup pr list application,0,1,0%,91
pitch email examples for paid influencer brand collaboration,0,1,0%,91
brands pr emails,0,1,0%,92
how to get on brands pr list,0,1,0%,92
pr brands to email,0,1,0%,94
pr emails for brands list pdf,0,1,0%,95
influencer brand collaboration email sample,0,1,0%,96
opening pr packages,0,1,0%,97
pr emails list,0,1,0%,97
list of pr emails,0,1,0%,98
gaming sponsorships for small youtubers,0,1,0%,99
influencer pr list gifting application,0,1,0%,99
paid partners,0,1,0%,99
what does paid partnership mean on facebook,0,1,0%,99
influencer collaboration email template,0,1,0%,100
